make,model,production_starting_year,production_ending_year,vehicle_size,vehicle_type,vehicle_class
Chevrolet,Lacetti,2002,2012,Compact,,Car
Chevrolet,Lanos,1997,2012,Subcompact,,Car
Chevrolet,Malibu,2004,-,Mid-size,,Car
Chevrolet,Monte Carlo,2005,2007,Mid-size,Luxury,Coupe
Chevrolet,Niva,2002,2020,Mini,,SUV
Chevrolet,Orlando,2011,-,Compact,,Minivan
Chevrolet,Rezzo,2000,2012,Compact,,Minivan
Chevrolet,Silverado,1999,-,Full-size,,Pickup Truck
Chevrolet,Silverado 1500,1999,-,Full-size,,Pickup Truck
Chevrolet,Silverado 2500 HD,2001,-,Heavy Duty,,Pickup Truck
Chevrolet,Spark,2005,-,Subcompact,Electric,Car
Chevrolet,SSR,2003,2006,Compact,,Pickup Truck
Chevrolet,Suburban,2001,-,Full-size,,SUV
Chevrolet,Tahoe,2000,-,Full-size,,SUV
Chevrolet,TrailBlazer,2002,2020,Mid-size,,SUV
Chevrolet,TrailBlazer,2021,-,Mid-size,,CUV
Chevrolet,Traverse,2009,-,Mid-size,,CUV
Chevrolet,Trax,2013,-,Compact,,CUV
Chevrolet,Uplander,2005,2009,Full-size,,Minivan
Chevrolet,Venture,1996,2005,Full-size,,Minivan
Chrysler,200,2010,-,Mid-size,,Car
Chrysler,300,2004,-,Full-size,Luxury,Car
Chrysler,300M,1998,2004,Full-size,Luxury,Car
Chrysler,Aspen,2006,2009,Full-size,,SUV
Chrysler,Concorde,1998,2004,Full-size,,Car
Chrysler,Crossfire,2003,2007,Compact,,Sports Car
Chrysler,Grand Voyager,2008,2015,Full-size,,Minivan
Chrysler,Pacifica,2004,2008,Mid-size,,CUV
Chrysler,Pacifica,2017,-,Full-size,Luxury,Minivan
Chrysler,PT Cruiser,2000,2010,Compact,,Car
Chrysler,Sebring,2000,2010,Mid-size,,Car
Chrysler,Town & Country,1980,2016,Full-size,,Minivan
Chrysler,Voyager,1995,2016,Full-size,,Minivan
Chrysler,Voyager,2020,-,Full-size,,Minivan
Citroen,Berlingo,1996,-,Mid-size,,Van
Citroen,C-Crosser,2007,2012,Compact,,CUV
Citroen,C-Elysee,2012,-,Subcompact,,Car
Citroen,C1,2005,-,Subcompact,,Car
Citroen,C2,2003,2009,Subcompact,,Hatchback
Citroen,C3,2002,-,Subcompact,,Hatchback
Citroen,C3 Aircross,2017,-,Subcompact,,CUV
Citroen,C3 Picasso,2009,2017,Subcompact,,Minivan
Citroen,C3 Pluriel,2003,2010,Subcompact,,Hatchback
Citroen,C4,2004,-,Compact,,Car
Citroen,C4,2020,-,Compact,,CUV
Citroen,C4 Aircross,2012,-,Subcompact,,CUV
Citroen,C4 Cactus,2014,-,Subcompact,,CUV
Citroen,C4 Picasso,2006,-,Compact,,Minivan
Citroen,C5,2001,2021,Mid-size,,Car
Citroen,C5,2021,-,Mid-size,,CUV
Citroen,C5 Aircross,2017,-,Compact,,CUV
Citroen,C6,2004,2012,Mid-size,Luxury,Car
Citroen,C8,2002,2014,Full-size,,Minivan
Citroen,DS 7 Crossback,2018,-,Compact,,CUV
Citroen,DS3,2009,-,Subcompact,,Hatchback
Citroen,DS4,2010,2018,Subcompact,Luxury,Car
Citroen,DS5,2011,2018,Compact,Luxury,Hatchback
Citroen,Grand C4 Picasso,2006,-,Compact,,Minivan
Citroen,Jumper,2014,-,Full-Size,,Van
Citroen,Jumpy,2007,2016,Mid-Size,,Van
Citroen,Nemo,2008,2018,Compact,,Van
Citroen,Saxo,1996,2004,Subcompact,,Car
Citroen,Spacetourer,2016,-,Full-size,,Minivan
Citroen,Xsara,1997,2006,Compact,,Hatchback
Citroen,Xsara Picasso,1999,2012,Compact,,Minivan
Dacia,Dokker,2012,-,Compact,,Van
Dacia,Lodgy,2012,-,Compact,,Minivan
Dacia,Solenza,2003,2005,Subcompact,,Hatchback
Dacia,SupeRNova,2000,2003,Subcompact,,Hatchback
Daewoo,Evanda,2002,2007,Mid-size,,Car
Daewoo,Kalos,2002,2007,Subcompact,,Car
Daewoo,Leganza,1997,2002,Mid-size,,Car
Daewoo,Magnus,2000,2006,Mid-size,,Car
Daewoo,Matiz,2000,2015,Subcompact,,Car
Daewoo,Nexia,1995,2016,Compact,,Car
Daewoo,Nubira,1997,2008,Compact,,Car
Daihatsu,Applause,1997,2000,Compact,,Car
Daihatsu,Cast,2015,-,Subcompact,,Hatchback
Daihatsu,Copen,2002,-,Subcompact,,Coupe
Daihatsu,Cuore,2003,2011,Subcompact,,Hatchback
Daihatsu,Gran Move,1996,2002,Subcompact,,Minivan
Daihatsu,Luxio,2009,-,Full-size,,Minivan
Daihatsu,Materia,2006,2012,Subcompact,,Minivan
Daihatsu,Mebius,2013,-,Compact,,Minivan
Daihatsu,Move,2014,-,Subcompact,,Hatchback
Daihatsu,Rocky,2019,-,Subcompact,,CUV
Daihatsu,Sirion,1998,2004,Subcompact,,Car
Daihatsu,Terios,1997,-,Subcompact,,SUV
Daihatsu,Trevis,2006,2011,Subcompact,,Hatchback
Daihatsu,YRV,2000,2005,Subcompact,,Minivan
Datsun,mi-DO,2014,-,Subcompact,,Car
Datsun,on-DO,2014,-,Subcompact,,Car
Dodge,Avenger,1994,2000,Compact,,Sports Car
Dodge,Avenger,2007,2014,Mid-size,,Car
Dodge,Caliber,2006,2012,Compact,,Hatchback
Dodge,Caliber SRT-4,2007,2010,Compact,,Hatchback
Dodge,Caravan,1995,2016,Full-size,,Minivan
Dodge,Challenger,2008,-,Full-size,,Pony Car
Dodge,Charger,2006,-,Full-size,,Car
Dodge,Dakota,2005,2011,Mid-size,,Pickup Truck
Dodge,Dart,2012,2017,Compact,,Car
Dodge,Durango,1998,-,Mid-size,,SUV
Dodge,Intrepid,1993,2004,Full-size,,Car
Dodge,Journey,2008,-,Mid-size,,CUV
Dodge,Magnum,2004,2008,Full-size,,Wagon
Dodge,Neon,2000,2005,Compact,,Car
Dodge,Neon SRT-4,2003,2005,Compact,,Sports Car
Dodge,Nitro,2007,2012,Compact,,SUV
Dodge,Ram 1500,2001,-,Full-size,,Pickup Truck
Dodge,Ram 2500,2002,-,Heavy Duty,,Pickup Truck
Dodge,Ram 3500,2002,-,Heavy Duty,,Pickup Truck
Dodge,Ram SRT-10,2004,2007,Full-size,Sport Pickup Truck
Dodge,Stratus,2001,2006,Mid-size,,Car
Dodge,Viper,1996,2017,Mid-size,Luxury,Supercar
Dongfeng,580,2016,-,Compact,,CUV
Dongfeng,A30,2014,-,Subcompact,,Car
Dongfeng,AX7,2014,-,Compact,,CUV
Dongfeng,H30 Cross,2013,-,Compact,,CUV
FAW,Besturn B30,2016,-,Subcompact,,Car
FAW,Besturn B50,2009,-,Compact,,Car
FAW,Besturn X40,2017,-,Subcompact,,CUV
FAW,Besturn X80,2014,-,Compact,,CUV
FAW,Oley,2012,-,Subcompact,,Car
FAW,Vita,2006,2012,Subcompact,,Car
Ferrari,348,1993,1995,Compact,,Sports Car
Ferrari,360,1999,2005,Compact,Luxury,Supercar
Ferrari,456,1992,2003,Compact,,Sports Car
Ferrari,458,2009,2016,Compact,Luxury,Supercar
Ferrari,488,2015,-,Compact,Luxury,Supercar
Ferrari,512,1991,2004,Compact,Luxury,Supercar
Ferrari,550,1996,2002,Compact,,Sports Car
Ferrari,575 M,2002,2006,Compact,,Sports Car
Ferrari,599 GTB Fiorano,2006,2012,Compact,,Sports Car
Ferrari,599 GTO,2010,2012,Compact,,Sports Car
Ferrari,612,2004,2011,Compact,,Sports Car
Ferrari,812,2017,-,Compact,,Sports Car
Ferrari,812 GTS,2019,-,Compact,,Sports Car
Ferrari,California,2008,2014,Compact,,Sports Car
Ferrari,California T,2014,-,Compact,,Sports Car
Ferrari,Challenge Stradale,2003,2003,Compact,,Sports Car
Ferrari,Enzo,2002,2004,Compact,Luxury,Hypercar
Ferrari,F12,2012,2017,Compact,,Sports Car
Ferrari,F355,1994,1999,Compact,Luxury,Supercar
Ferrari,F430,2004,2010,Compact,Luxury,Supercar
Ferrari,F50,1995,1997,Compact,Luxury,Hypercar
Ferrari,F512 M,1994,1996,Compact,,Sports Car
Ferrari,F8 Spider,2019,-,Compact,,Sports Car
Ferrari,F8 Tributo,2019,-,Compact,Luxury,Supercar
Ferrari,FF,2011,-,Full-size,Luxury,Grand Tourer
Ferrari,GTC4 Lusso,2016,-,Full-size,Luxury,Grand Tourer
Ferrari,LaFerrari,2013,2015,Compact,Luxury,Hypercar
Ferrari,Portofino,2017,-,Compact,Luxury,Grand Tourer
Ferrari,Roma,2020,-,Compact,Luxury,Grand Tourer
Ferrari,SF90 Stradale,2019,-,Compact,,Sports Car
Fiat,124 Spider,2015,-,Compact,,Sports Car
Fiat,500,2007,-,Subcompact,,Hatchback
Fiat,500e,2013,-,Subcompact,Electric,Hatchback
Fiat,500L,2012,-,Compact,,Minivan
Fiat,500X,2014,-,Subcompact,,CUV
Fiat,Albea,2002,2012,Subcompact,,Car
Fiat,Brava,1995,2003,Compact,,Hatchback
Fiat,Bravo,1995,2016,Compact,,Hatchback
Fiat,Coupe,1993,2009,Compact,,Sports Car
Fiat,Croma,2005,2011,Mid-size,,Wagon
Fiat,Doblo,2001,-,Compact,,Van
Fiat,Ducato,2006,-,Full-Size,,Van
Fiat,Freemont,2011,2016,Mid-size,,CUV
Fiat,Grande Punto,2005,2009,Subcompact,,Hatchback
Fiat,Idea,2004,2016,Subcompact,,Minivan
Fiat,Linea,2007,2015,Compact,,Car
Fiat,Marea,1996,2006,Compact,,Car
Fiat,Multipla,1998,2010,Compact,,Minivan
Fiat,Palio,1996,2017,Subcompact,,Hatchback
Fiat,Panda,2003,-,Subcompact,,Hatchback
Fiat,Panda 4x4,2003,2012,Subcompact,,SUV
Fiat,Punto,1999,2018,Subcompact,,Hatchback
Fiat,Qubo,2008,-,Subcompact,,Minivan
Fiat,Sedici,2005,2014,Subcompact,,CUV
Fiat,Siena,2014,-,Subcompact,,Car
Fiat,Stilo,2001,2010,Subcompact,,Hatchback
Fiat,Strada,2014,-,Subcompact,,Pickup Truck
Fiat,Tipo,2015,-,Subcompact,,Hatchback
Fiat,Ulysse,2002,2010,Full-size,,Minivan
Fisker,Karma,2011,2012,Full-size,Electric,Car
Ford,B-Max,2012,2017,Subcompact,,Minivan
Ford,Bronco,2021,-,Mid-size,,SUV
Ford,Bronco Sport,2021,-,Compact,,CUV
Ford,C-Max,2003,2019,Compact,,Minivan
Ford,Cougar,1998,2004,Compact,,Coupe
Ford,Crown Victoria,1999,2011,Full-size,,Car
Ford,EcoSport,2003,-,Subcompact,,SUV
Ford,Edge,2007,-,Mid-size,,CUV
Ford,Endura,2018,-,Mid-size,,SUV
Ford,Equator,2021,-,Mid-size,,CUV
Ford,Escape,2001,-,Compact,,CUV
Ford,Excursion,1999,2005,Full-size,,SUV
Ford,Expedition,1998,-,Full-size,,SUV
Ford,Explorer,1995,-,Mid-size,,CUV
Ford,Explorer Sport Trac,2007,2010,Mid-size,,CUV
Ford,E-Transit,2022,-,Full-size,Electric,Van
Ford,F-150,1997,-,Full-size,,Pickup Truck
Ford,F-250,2011,-,Heavy Duty,,Pickup Truck
Ford,F-350,2017,-,Heavy Duty,,Pickup Truck
Ford,Falcon,2005,-,Full-size,,Car
Ford,Fiesta,2002,-,Subcompact,,Hatchback
Ford,Five Hundred,2005,2007,Full-size,,Car
Ford,Flex,2008,2019,Full-size,,CUV
Ford,Focus,1998,-,Compact,,Car
Ford,Focus Active,2018,-,Compact,,Hatchback
Ford,Focus Electric,2012,2018,Compact,Electric,Car
Ford,Freestar,2003,2009,Full-size,,Minivan
Ford,Freestyle,2004,2007,Full-size,,CUV
Ford,Fusion,2002,2012,Mid-size,,Car
Ford,Galaxy,1995,-,Full-size,,Minivan
Ford,GT,2004,2006,Mid-size,Luxury,Supercar
Ford,Ka,2003,2021,Subcompact,,Car
Ford,Kuga,2008,-,Compact,,CUV
Ford,Lightning,2022,-,Full-size,Electric,Pickup Truck
Ford,Maverick,1992,2009,Mid-size,,Pickup Truck
Ford,Mondeo,2000,-,Full-size,,Wagon
Ford,Mustang,1995,-,Mid-size,,Pony Car
Ford,Mustang Mach-E,2020,-,Mid-size,Electric,CUV
Ford,Mustang Shelby GT350,2016,-,Mid-size,Luxury,Supercar
Ford,Mustang Shelby GT500,2020,-,Mid-size,Luxury,Supercar
Ford,Puma,1997,-,Subcompact,,CUV
Ford,Ranger,2006,-,Mid-size,,Pickup Truck
Ford,S-Max,2006,-,Compact,,Car
Ford,Taurus,2000,-,Full-size,,Car
Ford,Taurus X,2007,2009,Full-size,,Car
Ford,Thunderbird,2000,2006,Compact,,Sports Car
Ford,Tourneo Connect,2002,-,Compact,,Van
Ford,Transit,2001,-,Full-Size,,Van
Ford,Transit Connect,2002,-,Compact,,Van
Foton,Sauvana,2015,-,Mid-size,,SUV
GAC,GS5,2011,-,Compact,,CUV
GAC,Trumpchi GM8,2018,-,Full-size,,Minivan
GAC,Trumpchi GS8,2017,-,Mid-size,,CUV
GAZ,Volga 3102,1997,2009,Compact,,Car
GAZ,Volga 31105,1997,2009,Compact,,Car
GAZ,Volga Siber,2008,2010,Mid-size,,Car
GAZ,Sobol,2002,-,Full-Size,,Van
Geely,Atlas,2017,-,Compact,,CUV
Geely,Coolray,2018,-,Compact,,CUV
Geely,Emgrand 7,2016,-,Compact,,Car
Geely,Emgrand EC7,2009,2017,Compact,,Car
Geely,Emgrand GS,2016,-,Compact,,CUV
Geely,Emgrand X7,2011,-,Compact,,CUV
Geely,GC9,2015,2019,Mid-size,,Car
Geely,GС6,2014,2016,Compact,,Car
Geely,MK,2008,2019,Compact,,Car
Geely,Otaka,2006,2009,Compact,,Car
Geely,Tugella,2019,-,Compact,,CUV
Geely,Vision,2006,2013,Compact,,CUV
Genesis,G70,2018,-,Compact,Luxury,Car
Genesis,G80,2017,-,Mid-size,Luxury,Car
Genesis,G90,2016,-,Full-size,Luxury,Car
Genesis,GV70,2020,-,Mid-size,Luxury,SUV
Genesis,GV80,2020,-,Mid-size,Luxury,SUV
GMC,Acadia,2007,-,Mid-size,,CUV
GMC,Canyon,2004,-,Mid-size,,Pickup Truck
GMC,Envoy,2001,2009,Mid-size,,SUV
GMC,Hummer EV,2022,-,Full-size,Electric,SUV
GMC,Hummer EV,2022,-,Full-size,Electric,Pickup Truck
GMC,Sierra 1500,1999,-,Full-size,,Pickup Truck
GMC,Sierra 2500,1999,-,Heavy Duty,,Pickup Truck
GMC,Sierra 3500,2020,-,Heavy Duty,,Pickup Truck
GMC,Terrain,2010,-,Mid-size,,CUV
GMC,Yukon,2000,-,Full-size,,SUV
GMC,Yukon XL,2000,-,Full-size,,SUV
Great Wall,Cowry,2007,2014,Full-size,,Minivan
Great Wall,Deer,2003,2013,Heavy Duty,,Pickup Truck
