make,model,production_starting_year,production_ending_year,vehicle_size,vehicle_type,vehicle_class
Porsche,Panamera,2009,-,Mid-size,Luxury,Car
Porsche,Taycan,2020,-,Mid-size,Electric Luxury,Car
Ravon,Gentra,2015,-,Subcompact,,Hatchback
Renault,Alaskan,2016,-,Mid-size,,Pickup Truck
Renault,Arkana,2019,-,Compact,,CUV
Renault,Avantime,2001,2004,Compact,,Minivan Grand Tourer
Renault,Captur,2013,-,Subcompact,,CUV
Renault,Clio,1998,-,Subcompact,,Hatchback
Renault,Duster,2010,-,Compact,,SUV
Renault,Duster Oroch,2015,-,Mid-size,,Pickup Truck
Renault,Espace,1996,-,Full-size,,Minivan
Renault,Fluence,2010,2019,Compact,,Car
Renault,Grand Scenic,2009,-,Full-size,,Minivan
Renault,Kadjar,2015,-,Compact,,CUV
Renault,Kangoo,1998,-,Compact,,Van
Renault,Kaptur,2016,-,Subcompact,,CUV
Renault,Koleos,2008,-,Compact,,CUV
Renault,Laguna,1993,2015,Mid-size,,Coupe
Renault,Latitude,2010,2018,Full-size,Luxury,Car
Renault,Logan,2004,-,Compact,,Car
Renault,Master,2011,-,Full-size,,Van
Renault,Megane,1996,-,Compact,,Car
Renault,Modus,2004,2012,Subcompact,,Minivan
Renault,Sandero,2007,-,Subcompact,,Hatchback
Renault,Sandero Stepway,2008,-,Subcompact,,CUV
Renault,Scenic,1996,-,Compact,,Minivan
Renault,Symbol,2002,-,Subcompact,,Car
Renault,Taliant,2021,-,Subcompact,,Car
Renault,Talisman,2015,-,Mid-size,,Car
Renault,Trafic,2001,-,Mid-size,,Van
Renault,Triber,2019,-,Compact,,Minivan
Renault,Twingo,1993,-,Subcompact,,Hatchback
Renault,Twizy,2012,-,Compact,Electric,Microcar
Renault,Vel Satis,2002,2009,Full-size,Luxury,Car
Renault,Wind,2010,2013,Compact,,Roadster
Renault,Zoe,2012,-,Subcompact,,Hatchback
Rivian,R1S,2021,-,Mid-size,Electric,SUV
Rivian,R1T,2022,-,Full-size,Electric,Pickup Truck
Rolls-Royce,Cullinan,2018,-,Mid-size,Luxury,SUV
Rolls-Royce,Dawn,2015,-,Full-size,Luxury,Grand Tourer
Rolls-Royce,Ghost,2009,-,Full-size,Luxury,Car
Rolls-Royce,Phantom,2003,-,Full-size,Luxury,Car
Rolls-Royce,Wraith,2013,-,Full-size,Luxury,Car
Rover,25,1999,2008,Compact,Luxury,Car
Rover,400,1996,2000,Compact,Luxury,Car
Rover,45,2000,2008,Compact,Luxury,Car
Rover,600,1993,1999,Mid-size,Luxury,Car
Rover,75,1999,2005,Full-size,Luxury,Car
Rover,Streetwise,2003,2005,Subcompact,,Hatchback
Saab,9-2x,2004,2007,Compact,Luxury,Car
Saab,9-3,2003,2014,Compact,Luxury,Car
Saab,9-4x,2011,2012,Mid-size,Luxury,CUV
Saab,9-5,1997,2012,Full-size,Luxury,Car
Saab,9-7x,2005,2009,Mid-size,Luxury,SUV
Saturn,Aura,2007,2007,Mid-size,,Car
Saturn,Ion,2003,2007,Compact,,Car
Saturn,LW,1998,2004,Mid-size,,Car
Saturn,Outlook,2006,2010,Full-size,,CUV
Saturn,Sky,2007,2007,Compact,,Sports Car
Saturn,Vue,2002,2007,Compact,,SUV
Scion,FR-S,2012,2016,Compact,,Sports Car
Scion,tC,2004,2016,Compact,,Car
Scion,xA,2003,2007,Subcompact,,Hatchback
Scion,xB,2003,2015,Compact,,Car
Scion,xD,2007,2014,Subcompact,,CUV
Seat,Alhambra,1998,-,Full-size,,Minivan
Seat,Altea,2004,2015,Compact,,Minivan
Seat,Altea Freetrack,2007,2015,Compact,,SUV
Seat,Altea XL,2007,2015,Compact,,Minivan
Seat,Arona,2017,-,Subcompact,,CUV
Seat,Arosa,1997,2006,Subcompact,,Hatchback
Seat,Ateca,2016,-,Compact,,CUV
Seat,Cordoba,1999,2009,Subcompact,,Hatchback
Seat,Exeo,2008,2013,Mid-size,,Car
Seat,Ibiza,2002,-,Subcompact,,Hatchback
Seat,Leon,1999,-,Compact,,Car
Seat,Mii,2012,-,Subcompact,,Hatchback
Seat,Tarraco,2018,-,Mid-size,,CUV
Seat,Toledo,2004,2018,Compact,,Car
Skoda,Citigo,2011,-,Subcompact,,Hatchback
Skoda,Enyaq iV,2020,-,Compact,Electric,CUV
Skoda,Fabia,1999,-,Subcompact,,Hatchback
Skoda,Felicia,1995,2000,Compact,,Car
Skoda,Kamiq,2019,-,Subcompact,,CUV
Skoda,Karoq,2017,-,Compact,,CUV
Skoda,Kodiaq,2016,-,Mid-size,,CUV
Skoda,Octavia,1995,-,Compact,,Car
Skoda,Octavia Scout,2007,2013,Compact,,Wagon
Skoda,Octavia Tour,2006,2013,Compact,,Wagon
Skoda,Praktik,2007,2015,Compact,,Van
Skoda,Rapid,2012,-,Compact,,Car
Skoda,Rapid Spaceback (NH1),2013,2020,Compact,,Car
Skoda,Roomster,2006,2015,Compact,,Van
Skoda,Scala,2019,-,Compact,,Car
Skoda,Superb,2002,-,Mid-size,,Car
Skoda,Yeti,2009,-,Compact,,CUV
Smart,Forfour,2004,-,Subcompact,,Hatchback
Smart,Fortwo,1997,-,Subcompact,,Microcar
Smart,Fortwo,2013,-,Subcompact,Electric,Microcar
Smart,Roadster,2003,2012,Subcompact,,Roadster
Ssang Yong,Actyon,2005,-,Compact,,SUV
Ssang Yong,Actyon Sports,2006,-,Compact,,Pickup Truck
Ssang Yong,Chairman,1997,-,Full-size,Luxury,Car
Ssang Yong,Korando,2002,-,Compact,,CUV
Ssang Yong,Kyron,2005,2016,Mid-size,,SUV
Ssang Yong,Musso,1993,-,Mid-size,,SUV
Ssang Yong,Musso Sport,2004,2007,Mid-size,,Pickup Truck
Ssang Yong,Rexton,2001,-,Mid-size,,SUV
Ssang Yong,Rodius,2004,-,Full-size,,Minivan
Ssang Yong,Stavic,2013,-,Full-size,,Minivan
Ssang Yong,Tivoli,2015,-,Subcompact,,CUV
Ssang Yong,Tivoli XLV,2016,-,Mid-size,,SUV
Subaru,Ascent,2018,-,Mid-size,,CUV
Subaru,Baja,2002,2007,Compact,,Pickup Truck
Subaru,BRZ,2012,-,Compact,,Sports Car
Subaru,Crosstrek,2018,-,Subcompact,,CUV
Subaru,Exiga,2008,-,Mid-size,,Minivan
Subaru,Forester,1997,-,Compact,,CUV
Subaru,Impreza,1992,-,Compact,,Car
Subaru,Justy,1995,2006,Subcompact,,Hatchback
Subaru,Legacy,1994,-,Mid-size,,Car
Subaru,Levorg,2014,-,Mid-size,,Car
Subaru,Outback,1997,-,Mid-size,,CUV
Subaru,Traviq,2001,2006,Compact,,Minivan
Subaru,Tribeca,2005,2014,Mid-size,,CUV
Subaru,WRX,2014,-,Compact,,Car
Subaru,XV,2012,-,Subcompact,,CUV
Suzuki,Alto,2002,-,Subcompact,,Hatchback
Suzuki,Baleno,1995,2003,Subcompact,,Car
Suzuki,Celerio,2014,-,Subcompact,,Hatchback
Suzuki,Ciaz,2014,-,Subcompact,,Car
Suzuki,Grand Vitara,1998,2017,Compact,,SUV
Suzuki,Ignis,2000,-,Subcompact,,Hatchback
Suzuki,Jimny,1998,-,Subcompact,Off-road,SUV
Suzuki,Kizashi,2009,2015,Mid-size,,Car
Suzuki,Liana,2002,2007,Compact,,Car
Suzuki,Splash,2008,2016,Subcompact,,Hatchback
Suzuki,Swift,2005,-,Subcompact,,Hatchback
Suzuki,SX4,2006,-,Subcompact,,Hatchback
Suzuki,Vitara,2015,-,Compact,,CUV
Suzuki,Wagon R,2012,-,Subcompact,,Microcar
Suzuki,Wagon R+,2000,2006,Compact,,Hatchback
Suzuki,XL-7,1998,2006,Mid-size,,SUV
Suzuki,XL7,2006,2009,Mid-size,,CUV
Tesla,Model 3,2017,-,Compact,Electric Luxury,Car
Tesla,Model S,2012,-,Full-size,Electric Luxury,Car
Tesla,Model X,2015,-,Mid-size,Electric Luxury,CUV
Tesla,Model Y,2019,-,Compact,Electric Luxury,CUV
Toyota,4Runner,1995,-,Mid-size,,SUV
Toyota,Alphard,2002,-,Full-size,,Minivan
Toyota,Auris,2007,-,Compact,,Car
Toyota,Avalon,2000,-,Full-size,,Car
Toyota,Avensis,1997,2018,Mid-size,,Car
Toyota,Avensis Verso,2001,2010,Mid-size,,Minivan
Toyota,Aygo,2005,-,Subcompact,,Hatchback
Toyota,C-HR,2016,-,Subcompact,,CUV
Toyota,Caldina,2002,2007,Compact,,Car
Toyota,Camry,1996,-,Mid-size,,Car
Toyota,Celica,1999,2006,Compact,,Sports Car
Toyota,Corolla,1995,-,Subcompact,,Car
Toyota,Corolla Verso,2002,2009,Subcompact,,Minivan
Toyota,FJ Cruiser,2007,2016,Mid-size,,SUV
Toyota,Fortuner,2004,-,Mid-size,,SUV
Toyota,GT 86,2012,-,Compact,,Sports Car
Toyota,Hiace,2006,-,Full-size,,Van
Toyota,Highlander,2000,-,Mid-size,,CUV
Toyota,Hilux,2005,-,Mid-size,,Pickup Truck
Toyota,iQ,2008,2016,Subcompact,,Hatchback
Toyota,ist,2002,2016,Subcompact,,Hatchback
Toyota,Land Cruiser,1990,-,Full-size,,SUV
Toyota,Land Cruiser Prado,2002,-,Full-size,,SUV
Toyota,Mark II,2000,2004,Mid-size,,Car
Toyota,Mirai,2014,-,Mid-size,Luxury,Car
Toyota,MR2,1999,2007,Compact,,Sports Car
Toyota,Picnic,1995,2001,Mid-size,,Minivan
Toyota,Previa,2000,-,Full-size,,Minivan
Toyota,Prius,2003,-,Compact,,Car
Toyota,RAV4,1994,-,Compact,,CUV
Toyota,Sequoia,2001,-,Full-size,,SUV
Toyota,Sienna,2002,-,Full-size,,Minivan
Toyota,Supra,2019,-,Compact,,Sports Car
Toyota,Tacoma,2005,-,Mid-size,,Pickup Truck
Toyota,Tundra,1999,-,Full-size,,Pickup Truck
Toyota,Venza,2008,2016,Mid-size,,CUV
Toyota,Verso,2009,-,Full-Size,,Minivan
Toyota,Vitz,2005,-,Subcompact,,Car
Toyota,Yaris,1999,-,Subcompact,,Car
Toyota,Yaris Verso,1999,2005,Compact,,Minivan
UAZ,Pickup,2008,-,Mid-size,,Pickup Truck
UAZ,Патриот,2005,-,Mid-size,,SUV
UAZ,Хантер,2003,-,Mid-size,,SUV
VAZ,2101-2107,1976,2012,Compact,,Car
VAZ,2108,1984,2004,Mid-size,,Car
VAZ,2109,1984,2004,Mid-size,,Car
VAZ,21099,1984,2004,Mid-size,,Car
VAZ,2110,1996,2014,Compact,,Car
VAZ,2111,1996,2014,Compact,,Car
VAZ,2112,1996,2014,Compact,,Car
VAZ,2113,1997,2015,Compact,,Car
VAZ,2114,1997,2015,Compact,,Car
VAZ,2115,1997,2015,Compact,,Car
VAZ,4x4 Urban,2014,-,Mid-size,,SUV
VAZ,Granta,2011,-,Subcompact,,Car
VAZ,Lada Kalina (Калина),2004,2013,Subcompact,,Car
VAZ,Lada Niva 4X4 (Нива),1977,-,Compact,,SUV
VAZ,Lada Oka (Ока),1988,2008,Compact,,Car
VAZ,Lada Priora (Приора),2007,2018,Compact,,Car
VAZ,Lada Vesta (Веста),2015,-,Compact,,Car
VAZ,Largus,2012,-,Compact,,Minivan
VAZ,Largus Cross,2015,-,Compact,,Minivan
VAZ,Vesta Cross,2018,-,Compact,,Car
VAZ,Vesta Sport,2018,-,Compact,,Car
VAZ,Vesta SW,2017,-,Compact,,Wagon
VAZ,XRay,2016,-,Compact,,CUV
VAZ,XRay Cross,2018,-,Compact,,CUV
Volkswagen,Amarok,2010,-,Mid-size,,Pickup Truck
Volkswagen,Arteon,2017,-,Compact,Luxury,Car
Volkswagen,Beetle,2011,2019,Compact,,Car
Volkswagen,Bora,1998,2005,Compact,,Car
Volkswagen,Caddy,2004,-,Compact,,Minivan
Volkswagen,CC,2012,2017,Compact,Luxury,Car
Volkswagen,Crafter,2008,-,Full-Size,,Van
Volkswagen,CrossGolf,2007,2009,Compact,,Minivan
Volkswagen,CrossPolo,2006,2009,Subcompact,,CUV
Volkswagen,CrossTouran,2007,2015,Compact,,Minivan
Volkswagen,Eos,2006,2015,Compact,Luxury,Coupe
Volkswagen,E-Golf,2016,-,Compact,Electric,Car
Volkswagen,Fox,2005,-,Subcompact,,Car
Volkswagen,Golf,1997,-,Compact,,Hatchback
Volkswagen,ID.4,2020,-,Compact,Electric,CUV
Volkswagen,Jetta,2005,-,Compact,,Car
Volkswagen,Lupo,1998,2005,Subcompact,,Hatchback
Volkswagen,Multivan,2003,-,Mid-size,,Van
Volkswagen,New Beetle,1998,2007,Compact,,Car
Volkswagen,Passat,2000,-,Mid-size,,Car
Volkswagen,Passat CC,2008,2012,Compact,Luxury,Car
Volkswagen,Phaeton,2002,2016,Full-size,Luxury,Car
Volkswagen,Pointer,1993,1997,Compact,,Car
Volkswagen,Polo,2001,-,Subcompact,,Hatchback
Volkswagen,Routan,2008,2014,Full-size,,Minivan
Volkswagen,Scirocco,2008,2017,Compact,Sport,Hot Hatchback
Volkswagen,Sharan,1995,-,Mid-size,,Minivan
Volkswagen,T-Roc,2017,-,Compact,,SUV
Volkswagen,Taos,2020,-,Subcompact,,SUV
Volkswagen,Teramont,2017,-,Mid-size,,CUV
Volkswagen,Tiguan,2007,-,Compact,,CUV
Volkswagen,Touareg,2002,-,Mid-size,Luxury,CUV
Volkswagen,Touran,2003,-,Compact,,Minivan
Volkswagen,Transporter,1990,-,Full-size,,Van
Volkswagen,Up,2011,-,Subcompact,,Hatchback
Volvo,C30,2007,2013,Compact,Luxury,Hatchback
Volvo,C40,2021,-,Compact,Luxury,CUV
Volvo,C40 Recharge,2022,-,Compact,Electric Luxury,CUV
Volvo,C70,2006,2013,Mid-size,Luxury,Car
Volvo,C70 Convertible,1997,2006,Mid-size,Luxury,Coupe
Volvo,C70 Coupe,1996,2007,Mid-size,Luxury,Coupe
Volvo,S40,1995,2012,Compact,Luxury,Car
Volvo,S60,2000,-,Compact,Luxury,Car
Volvo,S70,1996,2000,Mid-size,Luxury,Car
Volvo,S80,1998,2016,Mid-size,Luxury,Car
Volvo,S90,1997,-,Mid-size,Luxury,Car
Volvo,V40,1995,-,Compact,Luxury,Wagon
Volvo,V50,2004,2012,Mid-size,Luxury,Wagon
Volvo,V60,2011,-,Mid-size,Luxury,Wagon
Volvo,V70,1996,-,Mid-size,Luxury,Wagon
Volvo,V90,1997,-,Full-size,Luxury,Wagon
Volvo,XC40,2017,-,Subcompact,Luxury,SUV
Volvo,XC40 Recharge,2021,-,Subcompact,Electric Luxury,SUV
Volvo,XC60,2008,-,Compact,Luxury,SUV
Volvo,XC70,2001,-,Mid-size,Luxury,CUV
Volvo,XC90,2002,-,Mid-size,Luxury,SUV
